test_date,test_case,graph_key,graph_name,algorithm,graph_type,edge_type,traversal_method,num_anomalies,num_edges,num_candidates,top1_accuracy,top3_accuracy,top5_accuracy,top10_accuracy,mrr,precision@1,precision@3,precision@5,recall@3,recall@5,recall@10,root_ranks
2025-10-01,case5_sensor_reads_nulls,hybrid_v3_filtered_fuel,Hybrid PC-NOTEARS-Bootstrap v3 (Filtered),Hybrid_PC_NOTEARS_Bootstrap_v3,filtered,directed,downstream,35,71,47,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,{'raw_mean_fuel_consumption_ecol': 25}
2025-10-02,case6_vehicle_id_nulls,hybrid_v3_filtered_fuel,Hybrid PC-NOTEARS-Bootstrap v3 (Filtered),Hybrid_PC_NOTEARS_Bootstrap_v3,filtered,directed,downstream,47,71,49,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.3333333333333333,0.2,1.0,1.0,1.0,{'raw_null_count_unit_id': 3}
2025-10-03,case7_extreme_values,hybrid_v3_filtered_fuel,Hybrid PC-NOTEARS-Bootstrap v3 (Filtered),Hybrid_PC_NOTEARS_Bootstrap_v3,filtered,directed,downstream,46,71,49,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.3333333333333333,0.2,0.5,0.5,0.5,"{'raw_std_fuel_consumption_ecol': 26, 'raw_avg_speed_mean': 3}"
2025-10-04,case8_invalid_ranges,hybrid_v3_filtered_fuel,Hybrid PC-NOTEARS-Bootstrap v3 (Filtered),Hybrid_PC_NOTEARS_Bootstrap_v3,filtered,directed,downstream,45,71,49,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.3333333333333333,0.2,1.0,1.0,1.0,{'bronze_duration_mean': 3}
2025-10-05,case9_speed_prediction_drift,hybrid_v3_filtered_fuel,Hybrid PC-NOTEARS-Bootstrap v3 (Filtered),Hybrid_PC_NOTEARS_Bootstrap_v3,filtered,directed,downstream,46,71,49,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,"{'silver_ml_prediction_mean': 12, 'silver_ml_large_error_count': 14}"
2025-10-06,case10_prediction_outliers,hybrid_v3_filtered_fuel,Hybrid PC-NOTEARS-Bootstrap v3 (Filtered),Hybrid_PC_NOTEARS_Bootstrap_v3,filtered,directed,downstream,35,71,47,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,"{'silver_ml_prediction_mean': 14, 'silver_ml_large_error_count': 11}"
2025-10-07,case11_duration_anomalies,hybrid_v3_filtered_fuel,Hybrid PC-NOTEARS-Bootstrap v3 (Filtered),Hybrid_PC_NOTEARS_Bootstrap_v3,filtered,directed,downstream,45,71,49,0.0,0.0,1.0,1.0,0.25,0.0,0.0,0.2,0.0,0.5,0.5,"{'bronze_duration_mean': 4, 'bronze_duration_std': 46}"
2025-10-08,case12_timestamp_inconsistencies,hybrid_v3_filtered_fuel,Hybrid PC-NOTEARS-Bootstrap v3 (Filtered),Hybrid_PC_NOTEARS_Bootstrap_v3,filtered,directed,downstream,45,71,49,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,{'raw_max_trip_end_ts': 20}
2025-10-09,case13_aggregation_errors,hybrid_v3_filtered_fuel,Hybrid PC-NOTEARS-Bootstrap v3 (Filtered),Hybrid_PC_NOTEARS_Bootstrap_v3,filtered,directed,downstream,45,71,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{'raw_duplicate_trip_ids': 50}
2025-10-10,case14_join_failures,hybrid_v3_filtered_fuel,Hybrid PC-NOTEARS-Bootstrap v3 (Filtered),Hybrid_PC_NOTEARS_Bootstrap_v3,filtered,directed,downstream,46,71,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{'raw_vehicle_master_incomplete': 50}
2025-10-11,case15_duplicate_handling,hybrid_v3_filtered_fuel,Hybrid PC-NOTEARS-Bootstrap v3 (Filtered),Hybrid_PC_NOTEARS_Bootstrap_v3,filtered,directed,downstream,45,71,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{'raw_duplicate_trip_ids': 50}
2025-10-12,case16_vehicle_id_nulls_low,hybrid_v3_filtered_fuel,Hybrid PC-NOTEARS-Bootstrap v3 (Filtered),Hybrid_PC_NOTEARS_Bootstrap_v3,filtered,directed,downstream,48,71,49,0.0,0.0,1.0,1.0,0.2,0.0,0.0,0.2,0.0,1.0,1.0,{'raw_null_count_unit_id': 5}
2025-10-13,case17_extreme_values_low,hybrid_v3_filtered_fuel,Hybrid PC-NOTEARS-Bootstrap v3 (Filtered),Hybrid_PC_NOTEARS_Bootstrap_v3,filtered,directed,downstream,46,71,49,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.3333333333333333,0.2,0.5,0.5,0.5,"{'raw_std_fuel_consumption_ecol': 23, 'raw_avg_speed_mean': 3}"
2025-10-14,case18_invalid_ranges_low,hybrid_v3_filtered_fuel,Hybrid PC-NOTEARS-Bootstrap v3 (Filtered),Hybrid_PC_NOTEARS_Bootstrap_v3,filtered,directed,downstream,46,71,49,0.0,0.0,1.0,1.0,0.25,0.0,0.0,0.2,0.0,0.5,0.5,"{'bronze_duration_mean': 4, 'bronze_rows_dropped_by_rules': 12}"
